Date,buy_hold_spy,buy_hold_qqq,trend_following_spy_200d,sixty_forty,dual_momentum,sector_momentum_top3_monthly,vix_overlay_spy_25,vix_overlay_spy_30,sector_rotation_5d_live,sector_rotation_sensitivity_best,ensemble_regime_routed,trend_leveraged_tqqq,trend_leveraged_upro,trend_with_inverse_sh,hedgefundie_55_45_upro_tmf,buy_dip_tqqq,vix_timing_with_inverse,tqqq_trend_1d_hold,tqqq_trend_5d_hold,tqqq_trend_21d_hold,tqqq_trend_vix_gated,tqqq_trend_trailing_stop_10pct,synth_3x_qqq_trend,synth_3x_spy_trend,synth_3x_qqq_trend_vix_gated,synth_3x_qqq_trend_trailing_stop_10pct
1993-03-30,103402.08671206674,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100407.55410932534,,
1993-03-31,103330.61456734697,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100417.51517620128,,
1993-04-01,102973.33274003326,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100427.47723127829,,
1993-04-02,100829.58654875142,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100437.44027465442,,
1993-04-05,101329.79688624766,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100447.4043064277,,
1993-04-06,101043.93986588262,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100457.36932669622,,
1993-04-07,101401.2138035678,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100467.335335558,,
1993-04-08,101258.23006598568,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100477.30233311115,,
1993-04-12,102687.47571966825,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100487.27031945373,,
1993-04-13,102901.82903679943,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100497.23929468384,,
1993-04-14,102758.91630587395,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100507.2092588996,,
1993-04-15,102758.91630587395,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100517.1802121991,,
1993-04-16,102758.91630587395,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100527.15215468049,,
1993-04-19,102330.2254508686,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100537.12508644188,,
1993-04-20,101829.99144448683,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100547.09900758143,,
1993-04-21,101758.51929976707,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100557.07391819727,,
1993-04-22,100472.24160440962,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100567.0498183876,,
1993-04-23,100043.50341163317,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100577.02670825055,,
1993-04-26,99257.45183302896,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100587.00458788432,,
1993-04-27,100329.3209838556,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100596.9834573871,,
1993-04-28,100114.97555635293,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100606.9633168571,,
1993-04-29,100543.75319727196,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100616.94416639251,,
1993-04-30,100686.62648005487,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100626.92600609155,,
1993-05-03,101329.79688624766,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100636.90883605249,,
1993-05-04,101687.00770690471,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100646.89265637354,,
1993-05-05,101972.8962857838,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100656.87746715295,,
