Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2014-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-03,99983.64032121659,100000.0,99983.64032121659,99983.64032121659,99990.18419272995,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-06,99693.91071805434,100000.0,99693.91071805435,99693.91071805435,99984.67018293604,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-07,100306.17143978011,100000.0,100306.17143978011,100306.17143978011,100454.44200239184,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-08,100328.04596320048,100000.0,100328.04596320048,100328.04596320048,100358.23045075218,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-09,100393.6387242737,100000.0,100393.6387242737,100393.6387242737,100632.36392334108,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-10,100667.00864865254,100000.0,100667.00864865254,100667.00864865254,101276.66046003152,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-13,99327.58947373286,100000.0,99327.58947373286,99327.58947373286,100669.88567800226,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-14,100410.07029116222,100000.0,100410.07029116222,100410.07029116222,101143.9497724418,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-15,100951.29529528295,100000.0,100951.29529528295,100951.29529528295,101428.4605031345,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-16,100820.0378850314,100000.0,100820.0378850314,100820.0378850314,101621.51442941741,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-17,100393.6387242737,100000.0,100393.63872427367,100393.63872427367,101533.91216137476,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-21,100688.89344180221,100000.0,100688.89344180221,100688.89344180221,101743.8546287119,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-22,100754.4553936875,100000.0,100754.4553936875,100754.4553936875,101683.38099685655,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-23,99928.95401266566,100000.0,99928.95401266566,99928.95401266566,101759.05824562091,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-24,97796.855511584,100000.0,97796.855511584,97796.855511584,100719.34334624797,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-27,97315.79058173395,100000.0,97315.79058173395,97315.79058173395,100140.94294645713,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-28,97895.30113670499,100000.0,97895.30113670498,97895.30113670498,100596.35435650902,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-29,96954.95337286152,100000.0,96954.95337286152,96954.95337286152,100347.55713176486,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-30,97982.77869092788,100000.0,97982.77869092788,97982.77869092788,100870.44356410966,100021.84366966225,100000.0,100000.0,100000.0,100000.0,100000.0,,
2014-01-31,97408.70082275936,100000.0,97408.70082275936,97408.70082275936,100785.94897013826,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,
